1296, 1808, 6518288, 0, 0, 0.001, 0.006, 0.0058, 0.017, 0.1144,
1296, 2064, 6780432, 0, 0, 0.001, 0.007, 0.0065, 0.02, 0.1264,
1296, 2320, 7042576, 0, 0, 0.001, 0.008, 0.0074, 0.023, 0.1381,
1296, 2576, 7304720, 0, 0, 0.005, 0.029, 0.0085, 0.023, 0.1523,
1296, 2832, 7566864, 0, 0, 0.002, 0.009, 0.009, 0.025, 0.1634,
1296, 3088, 7829008, 0, 0, 0.002, 0.011, 0.0099, 0.026, 0.1779,
1296, 3344, 8091152, 0, 0, 0.006, 0.034, 0.0107, 0.028, 0.1893,
1296, 3600, 8353296, 0, 0, 0.003, 0.012, 0.0116, 0.03, 0.2035,
1552, 16, 5605136, 0, 0, 0.001, 0, 0.0001, 0.006, 0.0052,
1552, 272, 5867280, 0, 0, 0.001, 0.001, 0.001, 0.008, 0.0219,
1552, 528, 6129424, 0, 0, 0.001, 0.002, 0.0021, 0.009, 0.0393,
1552, 784, 6391568, 0, 0, 0.001, 0.004, 0.0031, 0.012, 0.0685,
1552, 1040, 6653712, 0, 0, 0.003, 0.016, 0.0044, 0.014, 0.0849,
1552, 1296, 6915856, 0, 0.001, 0.001, 0.006, 0.005, 0.016, 0.1012,
1552, 1552, 7178000, 0, 0, 0.001, 0.007, 0.0059, 0.017, 0.1183,
1552, 1808, 7440144, 0, 0, 0.001, 0.008, 0.0069, 0.02, 0.13,
1552, 2064, 7702288, 0, 0, 0.002, 0.008, 0.0079, 0.021, 0.1467,
1552, 2320, 7964432, 0, 0, 0.005, 0.035, 0.009, 0.023, 0.1619,
1552, 2576, 8226576, 0, 0, 0.002, 0.01, 0.0099, 0.025, 0.1773,
1552, 2832, 8488720, 0, 0, 0.002, 0.012, 0.0109, 0.028, 0.1896,
1552, 3088, 8750864, 0, 0, 0.006, 0.034, 0.0118, 0.03, 0.2082,
1552, 3344, 9013008, 0, 0, 0.002, 0.014, 0.0128, 0.031, 0.2245,
1552, 3600, 9275152, 0, 0, 0.002, 0.015, 0.0138, 0.034, 0.2382,
1808, 16, 6526992, 0, 0, 0.001, 0.001, 0.0004, 0.011, 0.0127,
1808, 272, 6789136, 0, 0, 0.007, 0.009, 0.0039, 0.009, 0.0344,
1808, 528, 7051280, 0, 0, 0.001, 0.003, 0.0024, 0.011, 0.0469,
1808, 784, 7313424, 0, 0, 0.001, 0.004, 0.0035, 0.014, 0.0757,
1808, 1040, 7575568, 0.001, 0, 0.001, 0.005, 0.0046, 0.016, 0.0973,
1808, 1296, 7837712, 0, 0, 0.001, 0.006, 0.0057, 0.017, 0.1197,
1808, 1552, 8099856, 0.001, 0, 0.001, 0.008, 0.0068, 0.019, 0.1334,
1808, 1808, 8362000, 0, 0, 0.003, 0.023, 0.0081, 0.022, 0.1476,
1808, 2064, 8624144, 0, 0, 0.001, 0.01, 0.0091, 0.024, 0.1689,
1808, 2320, 8886288, 0, 0, 0.002, 0.011, 0.0102, 0.026, 0.1824,
1808, 2576, 9148432, 0, 0, 0.006, 0.037, 0.0114, 0.028, 0.2112,
1808, 2832, 9410576, 0, 0, 0.002, 0.013, 0.0126, 0.03, 0.2341,
1808, 3088, 9672720, 0, 0, 0.002, 0.014, 0.0137, 0.032, 0.2511,
1808, 3344, 9934864, 0, 0, 0.007, 0.045, 0.0148, 0.034, 0.2644,
1808, 3600, 10197008, 0, 0, 0.002, 0.017, 0.0161, 0.038, 0.2758,
2064, 16, 7448848, 0, 0.001, 0.001, 0.002, 0.0004, 0.009, 0.015,
2064, 272, 7710992, 0, 0, 0.001, 0.007, 0.003, 0.01, 0.0331,
2064, 528, 7973136, 0, 0, 0.001, 0.003, 0.0027, 0.012, 0.0593,
2064, 784, 8235280, 0, 0, 0.001, 0.004, 0.004, 0.015, 0.0896,
2064, 1040, 8497424, 0, 0, 0.001, 0.006, 0.0053, 0.018, 0.1093,
2064, 1296, 8759568, 0, 0, 0.001, 0.007, 0.0065, 0.02, 0.1282,
2064, 1552, 9021712, 0, 0, 0.001, 0.008, 0.0079, 0.022, 0.1494,
2064, 1808, 9283856, 0, 0, 0.004, 0.03, 0.0092, 0.023, 0.1696,
